"ID","Name","Event ID","Title","Date Created","Date Modified","Permalink","Description","Start Date","End Date","Category","Category Slug","Hosts"
"56","Charlotte &#8211; Regional Network Meeting","","Charlotte &#8211; Regional Network Meeting","2022-07-18 11:45:53","2022-07-26 05:56:35","","","2022-05-19 12:00:00","2022-05-19 13:00:00","Regional Network Meeting","regional-network-meeting",""
"57","Douglas &#8211; Regional Network Meeting","","Douglas &#8211; Regional Network Meeting","2022-07-18 11:45:53","2022-07-26 05:56:35","","","2022-05-19 15:00:00","2022-05-19 16:00:00","Regional Network Meeting","regional-network-meeting",""
"58","Kim &#8211; Regional Network Meeting","","Kim &#8211; Regional Network Meeting","2022-07-18 11:45:53","2022-07-26 05:56:35","","","2022-05-19 18:00:00","2022-05-19 19:00:00","Regional Network Meeting","regional-network-meeting",""
"59","Nicole &#8211; Regional Network Meeting","","Nicole &#8211; Regional Network Meeting","2022-07-18 11:45:53","2022-07-26 05:56:35","","","2022-05-20 11:00:00","2022-05-20 12:00:00","Regional Network Meeting","regional-network-meeting",""
"60","Christopher &#8211; Regional Network Meeting","","Christopher &#8211; Regional Network Meeting","2022-07-18 11:45:53","2022-07-26 05:56:35","","","2022-05-23 13:30:00","2022-05-23 14:30:00","Regional Network Meeting","regional-network-meeting",""
"61","Lia &#8211; Regional Network Meeting","","Lia &#8211; Regional Network Meeting","2022-07-18 11:45:53","2022-07-26 05:56:35","","","2022-05-23 16:00:00","2022-05-23 17:00:00","Regional Network Meeting","regional-network-meeting",""
"62","Global Network Meeting: Networking","","Global Network Meeting: Networking","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>Join us to connect with your fellow Ki Futures colleagues from around the world. We will spend one hour in various breakout rooms to get to know each other one-on-one. Come find out how people are tackling sustainability and leave with friends and alli","2022-05-24 17:00:00","2022-05-24 18:00:00","Global Network Meeting","global-network-meeting",""
"63","Office Hours","","Office Hours","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>These biweekly office hours help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-05-26 08:00:00","2022-05-26 09:00:00","Office Hours","office-hours",""
"64","Workshop: Carbon Calculator","","Workshop: Carbon Calculator","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p><span style=\"font-weight: 400;\">In this workshop, you will take the first steps to calculate your carbon footprint. Carbon emissions come from many sources (called Scope 1, 2, and 3) and can be generated by products, places, organizations, and individu","2022-05-31 17:00:00","2022-05-31 18:00:00","Workshop","workshop",""
"65","Social: Conservation","","Social: Conservation","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>This will be our first ever Social event. Each first Wednesday of the month, we are inviting everyone to get together during this informal gathering with different themes. This month’s theme is conservation.</p>","2022-06-01 17:00:00","2022-06-01 18:00:00","Social","social",""
"66","Deep Dive: Climate Anxiety","","Deep Dive: Climate Anxiety","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>Join us for this Deep Dive training with Megan Kennedy-Woodard on climate anxiety. Climate urgency is a global concern, but also a personal one. The environmental and social challenges facing the world today are feeding persistent worries about the Ear","2022-06-07 17:00:00","2022-06-07 18:00:00","Global Network Meeting","global-network-meeting",""
"67","Office Hours","","Office Hours","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>These biweekly office hours help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-06-09 17:00:00","2022-06-09 18:00:00","Office Hours","office-hours",""
"68","Core Training: Education &#038; Engagement","","Core Training: Education &#038; Engagement","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>Education and engagement are at the heart of what we do as cultural professionals. From our programming and our exhibitions to our artworks and performances &#8211; every output has the chance to change a person fundamentally. So how can we harness thi","2022-06-14 17:00:00","2022-06-14 18:00:00","Core Training","core-training",""
"69","Christopher &#8211; Regional Network Meeting","","Christopher &#8211; Regional Network Meeting","2022-07-18 11:45:53","2022-07-26 05:56:35","","","2022-06-20 13:30:00","2022-06-20 14:30:00","Regional Network Meeting","regional-network-meeting",""
"70","Alice &#8211; Regional Network Meeting","","Alice &#8211; Regional Network Meeting","2022-07-18 11:45:53","2022-07-26 05:56:35","","","2022-06-21 11:00:00","2022-06-21 12:00:00","Regional Network Meeting","regional-network-meeting",""
"71","Charlotte &#8211; Regional Network Meeting","","Charlotte &#8211; Regional Network Meeting","2022-07-18 11:45:53","2022-07-26 05:56:35","","","2022-06-22 12:00:00","2022-06-22 13:00:00","Regional Network Meeting","regional-network-meeting",""
"72","Office Hours","","Office Hours","2022-07-18 11:45:53","2022-07-26 05:56:35","","<p>These biweekly office hours help new champions and those who would like to have guidance into Ki Futures to understand the structure of the program and where to find everything they need to support their sustainability journey.</p>","2022-06-23 00:00:00","2022-06-23 01:00:00","Office Hours","office-hours",""
"73","Douglas &#8211; Regional Network Meeting","","Douglas &#8211; Regional Network Meeting","2022-07-18 11:45:53","2022-07-26 05:56:35","","","2022-06-23 15:00:00","2022-06-23 16:00:00","Regional Network Meeting","regional-network-meeting",""
"74","Kim &#8211; Regional Network Meeting","","Kim &#8211; Regional Network Meeting","2022-07-18 11:45:53","2022-07-26 05:56:35","","","2022-06-23 18:00:00","2022-06-23 19:00:00","Regional Network Meeting","regional-network-meeting",""
"75","Nicole &#8211; Regional Network Meeting","","Nicole &#8211; Regional Network Meeting","2022-07-18 11:45:53","2022-07-26 05:56:35","","","2022-06-24 11:00:00","2022-06-24 12:00:00","Regional Network Meeting","regional-network-meeting",""
